popular_albuns_rank,artist_band,reference_year,musical_genre,total_awards_nominations,uk number 1's,million_sales
1173,ghostface killah,2000,hip-hop,0,0,0
1174,caroline polachek,2019,pop,0,0,0
1175,shellac,1994,rock,0,0,0
1176,julee cruise,1989,pop,0,0,0
1181,noname,2018,jazz,0,0,0
1186,lightning bolt,2003,rock,0,0,0
1187,r.a.p. ferreira,2020,jazz,0,0,0
1194,"21 savage, offset & metro boomin",2017,hip-hop,0,0,0
1196,john cale,1973,pop,0,0,0
1198,tv on the radio,2006,rock,0,0,0
1199,iglooghost,2017,electronic,0,0,0
1205,the pharcyde,1992,jazz,0,0,0
1206,cloud nothings,2012,rock,0,0,0
1210,ariel pink's haunted graffiti,2010,pop,0,0,0
1213,slowthai,2019,hip-hop,0,0,0
1214,sepultura,1989,metal,0,0,0
1215,paramore,2017,rock,0,0,0
1216,solange,2016,soul_funk,0,0,0
1217,big k.r.i.t.,2017,hip-hop,0,0,0
1220,yung lean,2020,hip-hop,0,0,0
1223,between the buried and me,2007,metal,0,0,0
1226,billy woods & kenny segal,2019,hip-hop,0,0,0
1227,caravan,1971,rock,0,0,0
1231,godflesh,1989,metal,0,0,0
1235,broadcast,2005,pop,0,0,0
1237,sleater-kinney,2005,rock,0,0,0
1238,purple mountains,2019,rock,0,0,0
1244,cynic,1993,metal,0,0,0
1258,george clanton,2018,pop,0,0,0
1259,parliament,1975,soul_funk,0,0,0
1262,van der graaf generator,1971,rock,0,0,0
1263,everything everything,2015,rock,0,0,0
1266,carole king,1971,rock,0,0,0
1268,春ねむり [haru nemuri],2018,rock,0,0,0
1269,perfume genius,2020,pop,0,0,0
1273,the voidz,2018,rock,0,0,0
1275,killer mike,2012,hip-hop,0,0,0
1279,nicolás jaar,2011,pop,0,0,0
1280,lou reed & metallica,2011,metal,0,0,0
1283,adele,2011,pop,0,0,120
1286,nails,2010,metal,0,0,0
1290,primus,1991,metal,0,0,0
1294,carcass,1993,metal,0,0,0
1295,dean blunt,2014,pop,0,0,0
1298,deathspell omega,2010,metal,0,0,0
1301,charlie mingus,1960,jazz,0,0,0
1302,sufjan stevens & angelo de augustine,2021,folk,0,0,0
1311,fugees,1996,hip-hop,0,0,0
1314,chvrches,2013,electronic,0,0,0
1316,joey bada$$,2017,hip-hop,0,0,0
1317,placebo,1998,rock,0,0,0
1318,the gun club,1981,rock,0,0,0
1321,tropical fuck storm,2018,rock,0,0,0
1325,福居良 [ryo fukui],1976,jazz,0,0,0
1331,queensrÿche,1988,metal,0,0,0
1332,clouddead,2001,hip-hop,0,0,0
1333,silver apples,1968,rock,0,0,0
1334,eagles,1976,rock,0,0,200
1337,nick cave featuring the bad seeds,1984,rock,0,0,0
1338,sun ra,1978,jazz,0,0,0
1340,armand hammer & the alchemist,2021,hip-hop,0,0,0
1341,orchid,1999,rock,0,0,0
1342,john zorn,1990,rock,0,0,0
1343,vince guaraldi,1965,jazz,0,0,0
1344,mercury rev,1998,rock,0,0,0
1347,twenty øne piløts,2015,pop,0,0,0
1348,joji,2018,soul_funk,0,0,0
1349,women,2010,rock,0,0,0
1351,snail mail,2018,rock,0,0,0
1352,misfits,1982,rock,0,0,0
1353,derek and the dominos,1970,rock,0,0,0
1358,clarence clarity,2015,pop,0,0,0
1361,aesop rock,2016,hip-hop,0,0,0
1362,nomeansno,1989,rock,0,0,0
1363,scott walker,1969,pop,0,0,0
1364,killing joke,1980,rock,0,0,0
1366,turnstile,2021,rock,0,0,0
1369,hole,1994,rock,0,0,0
1370,sunn o))),2009,metal,0,0,0
1376,offspring,1994,rock,0,0,0
1377,meat puppets,1984,rock,0,0,0
1380,acid bath,1994,metal,0,0,0
1383,21 savage & metro boomin,2020,hip-hop,0,0,0
1385,madonna,1998,pop,28,13,300
1391,migos,2017,hip-hop,0,0,0
1392,behemoth,2014,metal,0,0,0
1393,the red hot chili peppers,1995,rock,0,0,0
1394,the united states of america,1968,rock,0,0,0
1396,...and you will know us by the trail of dead,2002,rock,0,0,0
1404,the unicorns,2003,pop,0,0,0
1405,saba,2018,jazz,0,0,0
1408,melt-banana,2013,rock,0,0,0
1411,oranssi pazuzu,2020,rock,0,0,0
1412,gentle giant,1972,rock,0,0,0
1413,cat power,1998,rock,0,0,0
1414,the streets,2002,hip-hop,0,0,0
1417,vashti bunyan,1970,folk,0,0,0
1419,(sandy) alex g,2019,rock,0,0,0
1421,the chemical brothers,1997,electronic,0,0,0
1424,florence + the machine,2009,pop,0,0,0
1426,ghost,2015,rock,0,0,0
1428,"emerson, lake & palmer",1971,rock,0,0,0
1431,death's dynamic shroud.wmv,2015,electronic,0,0,0
1434,おとぼけビ～バ～ [otoboke beaver],2019,rock,0,0,0
1437,alanis morissette,1995,rock,0,0,0
1438,the field,2007,electronic,0,0,0
1439,harold budd / brian enoharold buddbrian eno,1980,electronic,0,0,0
1440,lil nas x,2021,pop,0,0,0
1441,cornelius,1997,rock,0,0,0
1442,silver jews,1998,rock,0,0,0
1445,aerosmith,1975,rock,14,0,150
1447,rosalía,2018,pop,0,0,0
1452,dälek,2005,hip-hop,0,0,0
1454,marilyn manson,1996,rock,0,0,0
1455,lianne la havas,2020,soul_funk,0,0,0
1456,big thief,2019,folk,0,0,0
1463,chance the rapper,2019,pop,0,0,0
1464,frank zappa and the mothers of inventionfrank zappathe mothers of invention,1975,rock,0,0,0
1467,kacey musgraves,2018,pop,0,0,0
1471,biosphere,1997,electronic,0,0,0
1472,antony and the johnsons,2005,pop,0,0,0
1476,ol' dirty bastard,1995,hip-hop,0,0,0
1479,the dillinger escape plan,1999,metal,0,0,0
1481,steven wilson,2013,rock,0,0,0
1484,slauson malone,2019,hip-hop,0,0,0
1486,john maus,2011,pop,0,0,0
1488,at the gates,1995,metal,0,0,0
1490,sewerslvt,2020,electronic,0,0,0
1491,isaac hayes,1969,soul_funk,0,0,0
1492,mercyful fate,1984,metal,0,0,0
1493,tori amos,1992,rock,0,0,0
1494,lynyrd skynyrd,1973,rock,0,0,0
1495,50 cent,2003,hip-hop,0,0,0
1496,jean michel jarre,1976,electronic,0,0,0
1498,brian wilson,2004,pop,0,0,0
1499,the prodigy,1994,electronic,0,0,0
1501,u.s. girls,2018,rock,0,0,0
1504,shame,2021,rock,0,0,0
1515,lil peep,2017,rock,0,0,0
1520,panic! at the disco,2005,rock,0,0,0
1521,eels,1998,pop,0,0,0
1522,sonny rollins,1957,jazz,0,0,0
1523,magazine,1978,rock,0,0,0
1527,jesu,2004,rock,0,0,0
1528,sampha,2017,soul_funk,0,0,0
1529,post malone,2018,pop,0,0,80
1530,blood orange,2018,pop,0,0,0
1538,mgła,2015,metal,0,0,0
1539,immortal,1999,metal,0,0,0
1540,yellow magic orchestra,1979,electronic,0,0,0
1541,hella,2002,rock,0,0,0
1543,sade,1992,pop,0,0,0
1546,山岡晃 [akira yamaoka],2001,electronic,0,0,0
1560,prefab sprout,1985,rock,0,0,0
1561,cat stevens,1970,rock,0,0,0
1566,celtic frost,1985,metal,0,0,0
1567,gang starr,1998,hip-hop,0,0,0
1570,the mothers,1973,rock,0,0,0
1573,lil wayne,2008,hip-hop,0,0,120
1577,chelsea wolfe,2015,rock,0,0,0
1578,chuck person,2010,electronic,0,0,0
1579,nina simone,1965,blues,0,0,0
1582,cannonball adderley,1958,jazz,0,0,0
1584,mission of burma,1982,rock,0,0,0
1585,entombed,1990,metal,0,0,0
1592,malibu ken,2019,hip-hop,0,0,0
1593,limp bizkit,2000,rock,0,0,0
1598,the sound,1980,rock,0,0,0
1600,thin lizzy,1976,rock,0,0,0
1602,dorian electra,2019,electronic,0,0,0
1604,"thaiboy digital, bladee & ecco2k",2019,hip-hop,0,0,0
1606,arthur russell,1986,pop,0,0,0
1608,electric light orchestra,1977,rock,0,0,0
1610,digable planets,1994,jazz,0,0,0
1612,young marble giants,1980,rock,0,0,0
1613,protomartyr,2017,rock,0,0,0
1619,new york dolls,1973,rock,0,0,0
1621,frank sinatra,1955,jazz,0,0,150
1623,fennesz,2001,electronic,0,0,0
1628,blank banshee,2012,hip-hop,0,0,0
1632,einstürzende neubauten,1985,electronic,0,0,0
1633,napalm death,1987,metal,0,0,0
1634,goldfrapp,2000,pop,0,0,0
1641,duran duran,1982,electronic,0,0,0
1642,grandaddy,2000,rock,0,0,0
1645,current 93,1996,folk,0,0,0
1653,elvis presley,1956,rock,4,21,500
1658,rihanna,2016,soul_funk,0,0,250
1660,mar1lyn man5on,1998,rock,0,0,0
1665,schoolboy q,2016,hip-hop,0,0,0
1669,caribou,2010,electronic,0,0,0
1671,the byrds,1965,rock,0,1,0
1672,morphine,1993,rock,0,0,0
1674,billy joel,1977,rock,0,0,160
1677,type o negative,1993,metal,0,0,0
1678,evanescence,2003,rock,0,0,0
1679,батюшка [batushka],2015,metal,0,0,0
1681,death in june,1992,folk,0,0,0
1682,bob marley and the wailersbob marleythe wailers,1973,reggae,0,0,0
1686,the sonics,1965,rock,0,0,0
1688,steve roach,1984,electronic,0,0,0
1690,chief keef,2012,hip-hop,0,0,0
1693,suede,1993,rock,0,0,0
1695,bedwetter,2017,hip-hop,0,0,0
1697,spiritualized,1992,rock,0,0,0
1699,sons of kemet,2018,jazz,0,0,0
1704,the decemberists,2006,rock,0,0,0
1705,laurie anderson,1982,pop,0,0,0
1706,thelonious monk,1957,jazz,0,0,0
1708,andy stott,2012,electronic,0,0,0
1710,young thug,2019,hip-hop,0,0,0
1713,iceage,2014,rock,0,0,0
1715,gil scott-heron,1971,soul_funk,0,0,0
1718,adrianne lenker,2020,folk,0,0,0
1720,the offspring,1998,rock,0,0,0
1721,madlib,2003,jazz,0,0,0
1723,the hotelier,2014,rock,0,0,0
1724,glass beach,2019,rock,0,0,0
1725,morrissey,1988,pop,0,0,0
1726,cap'n jazz,1995,rock,0,0,0
1728,vektor,2016,metal,0,0,0
1729,monks,1966,rock,0,0,0
1731,pup,2019,rock,0,0,0
1732,dirty projectors,2009,pop,0,0,0
1734,the breeders,1993,rock,0,0,0
1738,codeine,1990,rock,0,0,0
1746,ice cube,1990,hip-hop,0,0,0
1750,j.i.d,2018,hip-hop,0,0,0
1751,dr. octagon,1996,hip-hop,0,0,0
1752,paysage d'hiver,1999,metal,0,0,0
1753,jackson c. frank,1965,folk,0,0,0
1760,justin timberlake,2006,pop,0,0,88
1766,gary numan,1979,electronic,0,0,0
1769,maudlin of the well,2001,metal,0,0,0
1770,beirut,2006,folk,0,0,0
1771,jane's addiction,1988,rock,0,0,0
1772,the angelic process,2007,rock,0,0,0
1774,gravediggaz,1994,hip-hop,0,0,0
1776,edge of sanity,1996,metal,0,0,0
1777,king gizzard & the lizard wizard with mild high clubking gizzard & the lizard wizardmild high club,2017,rock,0,0,0
1780,disclosure,2013,electronic,0,0,0
1784,x,1980,rock,0,0,0
1786,the world is a beautiful place & i am no longer afraid to die,2013,rock,0,0,0
1790,janis joplin,1971,rock,2,0,0
1791,liturgy,2019,metal,0,0,0
1793,stone temple pilots,1992,rock,0,0,0
1794,the mountain goats,2002,folk,0,0,0
1796,public image ltd,1978,rock,0,0,0
1797,the 1975,2018,pop,0,0,0
1798,global communication,1994,electronic,0,0,0
1802,the the,1983,pop,0,0,0
1805,the olivia tremor control,1996,rock,0,0,0
1811,albert ayler trio,1965,jazz,0,0,0
1813,venom,1982,metal,0,0,0
1814,in flames,1996,metal,0,0,0
1815,aretha franklin,1967,soul_funk,44,1,75
1821,jim o'rourke,1999,pop,0,0,0
1822,massive attack,2010,electronic,0,0,0
1823,lil pump,2017,hip-hop,0,0,0
1826,blood incantation,2019,metal,0,0,0
1827,spoon,2007,rock,0,0,0
1831,röyksopp,2001,electronic,0,0,0
1835,sharon van etten,2019,rock,0,0,0
1837,helloween,1987,metal,0,0,0
1838,"crosby, stills & nash",1969,rock,0,0,0
1839,katatonia,1996,metal,0,0,0
1843,the peter brötzmann octet,1968,jazz,0,0,0
1846,kreator,1986,metal,0,0,0
1847,múm,2002,folk,0,0,0
1849,squarepusher,1997,electronic,0,0,0
1853,garbage,1995,rock,0,0,0
1854,flower travellin' band,1971,rock,0,0,0
1855,elvis costello & the attractions,1979,rock,0,0,0
1859,the go! team,2004,rock,0,0,0
1860,blanck mass,2017,electronic,0,0,0
1861,fripp & eno,1973,electronic,0,0,0
1862,darkside,2013,electronic,0,0,0
1863,the tallest man on earth,2010,folk,0,0,0
1864,sky ferreira,2013,pop,0,0,0
1865,iron + wine,2004,folk,0,0,0
1872,the sisters of mercy,1987,rock,0,0,0
1875,the shaggs,1969,rock,0,0,0
1880,natural snow buildings,2006,folk,0,0,0
1883,clairo,2019,pop,0,0,0
1884,wolves in the throne room,2007,metal,0,0,0
1887,the soft machine,1968,rock,0,0,0
1888,butthole surfers,1987,rock,0,0,0
1891,badbadnotgood,2014,jazz,0,0,0
1892,21 savage,2018,hip-hop,0,0,0
1894,lizzo,2019,pop,0,0,0
1901,milo,2015,hip-hop,0,0,0
1904,let's eat grandma,2018,pop,0,0,0
1906,sleigh bells,2010,pop,0,0,0
1907,seatbelts,1998,jazz,0,0,0
1908,exodus,1985,metal,0,0,0
1909,cunninlynguists,2005,hip-hop,0,0,0
1913,kurt vile,2013,rock,0,0,0
1914,the ornette coleman double quartet,1961,jazz,0,0,0
1915,meshuggah,2008,metal,0,0,0
1923,ritchie blackmore's rainbow,1975,rock,0,0,0
1927,the pains of being pure at heart,2009,pop,0,0,0
1928,strapping young lad,1997,metal,0,0,0
1931,lupe fiasco,2006,hip-hop,0,0,0
1939,mahavishnu orchestra,1973,rock,0,0,0
1940,jay reatard,2006,rock,0,0,0
1941,westside gunn,2020,hip-hop,0,0,0
1942,spacemen 3,1987,rock,0,0,0
1945,black dresses,2020,rock,0,0,0
1949,the soft boys,1980,rock,0,0,0
1952,ministry,1992,metal,0,0,0
1953,sixteen horsepower,1996,country,0,0,0
1954,the john coltrane quartet,1961,jazz,0,0,0
1956,meat loaf,1977,rock,0,0,100
1960,disco inferno,1994,rock,0,0,0
1963,demilich,1993,metal,0,0,0
1965,japan,1981,pop,0,0,0
1966,bob dylan & the band,1975,rock,0,0,0
1970,rites of spring,1985,rock,0,0,0
1977,liz phair,1993,rock,0,0,0
1980,the books,2003,folk,0,0,0
1985,kevin abstract,2019,pop,0,0,0
1987,deakin,2016,rock,0,0,0
1990,the libertines,2002,rock,0,0,0
1993,jimmy eat world,2001,rock,0,0,0
1995,richard dawson,2017,folk,0,0,0
1998,backxwash,2021,hip-hop,0,0,0
2005,open mike eagle,2017,hip-hop,0,0,0
2006,underworld,1994,electronic,0,0,0
2008,wishbone ash,1972,rock,0,0,0
2010,the angels of light,2001,rock,0,0,0
2012,bohren & der club of gore,2002,jazz,0,0,0
2013,erykah badu,1997,soul_funk,0,0,0
2016,paul mccartney,1970,rock,0,0,100
2018,asobi seksu,2006,rock,0,0,0
2023,foster the people,2011,pop,0,0,0
2025,jack white,2018,rock,0,0,0
2028,dan deacon,2020,rock,0,0,0
2030,this mortal coil,1984,pop,0,0,0
2034,marillion,1985,rock,0,0,0
2035,them crooked vultures,2009,rock,0,0,0
2037,the pogues,1985,rock,0,0,0
2042,the charlie mingus jazz workshop,1956,jazz,0,0,0
2044,flipper,1982,rock,0,0,0
2046,wolf parade,2005,rock,0,0,0
2049,the sundays,1990,pop,0,0,0
2055,don caballero,1998,rock,0,0,0
2056,gospel,2005,rock,0,0,0
2057,atoms for peace,2013,pop,0,0,0
2058,tricot,2013,rock,0,0,0
2061,fall out boy,2005,rock,0,0,0
2062,the radio dept.,2003,pop,0,0,0
2063,foals,2008,rock,0,0,0
2064,laura marling,2020,folk,0,0,0
2067,sparklehorse,2001,rock,0,0,0
2074,aphrodite's child,1972,rock,0,0,0
2075,blind guardian,1998,metal,0,0,0
2078,dillinger escape plan,2007,metal,0,0,0
2079,isaiah rashad,2016,hip-hop,0,0,0
2081,cage the elephant,2013,rock,0,0,0
2083,wolf alice,2021,rock,0,0,0
2091,david sylvian,1987,pop,0,0,0
2093,kairon; irse!,2014,rock,0,0,0
2096,my morning jacket,2005,rock,0,0,0
2103,polvo,1993,rock,0,0,0
2108,andrew bird,2005,pop,0,0,0
2112,prmlscrm,2000,electronic,0,0,0
2113,toe,2005,rock,0,0,0
2117,duke ellington / charlie mingus / max roachduke ellingtoncharles mingusmax roach,1963,jazz,0,0,0
2120,scraping foetus off the wheel,1985,rock,0,0,0
2122,autopsy,1991,metal,0,0,0
2124,fuck buttons,2009,rock,0,0,0
2126,miles davis quintet,1967,jazz,0,0,0
2130,sublime,1996,rock,0,0,0
2134,wayne shorter,1966,jazz,0,0,0
2137,possessed,1985,metal,0,0,0
2138,nick cave & warren ellis,2021,pop,0,0,0
2139,siekiera,1986,rock,0,0,0
2141,they might be giants,1990,rock,0,0,0
2144,kings of leon,2008,rock,0,0,0
2145,popol vuh,1971,electronic,0,0,0
2149,bowery electric,1996,rock,0,0,0
2150,campfire songs,2003,folk,0,0,0
2155,temple of the dog,1991,rock,0,0,0
2156,teenage fanclub,1991,rock,0,0,0
2157,alice cooper,1973,rock,0,0,0
2162,cardi b,2018,hip-hop,0,0,0
2163,todd rundgren,1973,rock,0,0,0
2166,kaytranada,2016,soul_funk,0,0,0
2167,jackboys & travis scott,2019,pop,0,0,0
2169,uboa,2019,electronic,0,0,0
2172,ugk,1996,hip-hop,0,0,0
2180,patti smith group,1978,rock,0,0,0
2182,soft cell,1981,electronic,0,0,0
2185,kiss,1976,rock,0,0,75
2189,titus andronicus,2010,rock,0,0,0
2191,king diamond,1987,metal,0,0,0
2193,ocean machine,1997,metal,0,0,0
2195,purity ring,2012,electronic,0,0,0
2196,baby keem,2021,hip-hop,0,0,0
2198,mount eerie with julie doiron & fred squiremount eeriejulie doironfred squire,2008,folk,0,0,0
2204,avenged sevenfold,2005,metal,0,0,0
2205,anathema,1999,rock,0,0,0
2207,amon tobin,1998,jazz,0,0,0
2210,drudkh,2004,metal,0,0,0
2214,cut copy,2008,electronic,0,0,0
2223,blue öyster cult,1974,rock,0,0,0
2227,wolfmother,2005,rock,0,0,0
2228,todd terje,2014,electronic,0,0,0
2229,the afghan whigs,1993,rock,0,0,0
2230,verve,1993,rock,0,0,0
2231,imagine dragons,2012,rock,0,0,75
2236,blonde redhead,2007,rock,0,0,0
2237,la dispute,2011,rock,0,0,0
2239,the pretty things,1968,rock,0,0,0
2246,the human league,1981,electronic,0,0,0
2250,mclusky,2002,rock,0,0,0
2254,the slits,1979,rock,0,0,0
2256,kayo dot,2003,rock,0,0,0
2258,이달의 소녀 오드아이써클 [loona odd eye circle],2017,pop,0,0,0
2259,lisa germano,1994,rock,0,0,0
2260,the klf,1990,electronic,0,0,0
2261,incubus,1999,rock,0,0,0
2262,liars,2006,rock,0,0,0
2263,dusty springfield,1969,pop,0,0,0
2265,baroness,2007,metal,0,0,0
2266,various artists,2018,hip-hop,0,0,0
2268,bring me the horizon,2013,rock,0,0,0
2273,testament,1987,metal,0,0,0
2278,ka,2020,hip-hop,0,0,0
2280,kelela,2017,soul_funk,0,0,0
2281,orchestral manœuvres in the dark,1981,electronic,0,0,0
2287,twenty one pilots,2013,pop,0,0,0
2290,pescado rabioso,1973,rock,0,0,0
2293,feist,2007,pop,0,0,0
2294,mass of the fermenting dregs,2009,rock,0,0,0
2296,mach-hommy,2021,hip-hop,0,0,0
2302,big boi,2010,hip-hop,0,0,0
2303,tierra whack,2018,pop,0,0,0
2305,the allman brothers band,1972,rock,8,0,0
2306,big brother & the holding company,1968,rock,0,0,0
2307,band of horses,2006,rock,0,0,0
2310,danzig,1988,rock,0,0,0
2317,the damned,1977,rock,0,0,0
2319,captain beefheart & the magic band,1970,rock,0,0,0
2320,real estate,2011,pop,0,0,0
2321,the raincoats,1979,rock,0,0,0
2322,jay electronica,2020,hip-hop,0,0,0
2324,clap your hands say yeah,2005,rock,0,0,0
2326,foxygen,2013,pop,0,0,0
2328,fairport convention,1969,rock,0,0,0
2331,kelly lee owens,2020,pop,0,0,0
2340,discordance axis,2000,metal,0,0,0
2342,orbital,1996,electronic,0,0,0
2344,the cramps,1980,rock,0,0,0
2351,neon indian,2015,electronic,0,0,0
2352,terry riley,1969,electronic,0,0,0
2355,zz top,1973,rock,0,0,0
2356,melody's echo chamber,2012,rock,0,0,0
2357,echo and the bunnymen,1980,rock,0,0,0
2359,botch,1999,metal,0,0,0
2360,organized konfusion,1994,jazz,0,0,0
2364,"dr. john, the night tripper",1968,rock,0,0,0
2366,the notwist,2002,pop,0,0,0
2367,immolation,2000,metal,0,0,0
2368,pig destroyer,2004,metal,0,0,0
2370,japandroids,2012,rock,0,0,0
2373,fear factory,1995,metal,0,0,0
2374,lamp,2004,pop,0,0,0
2376,harry styles,2019,rock,0,0,0
2379,the congos,1977,reggae,0,0,0
2382,om,2012,rock,0,0,0
2384,the new pornographers,2005,pop,0,0,0
2387,regina spektor,2004,pop,0,0,0
2388,el-p,2002,hip-hop,0,0,0
2392,def leppard,1987,rock,0,0,100
2394,the cranberries,1994,rock,0,0,0
2398,hum,2020,rock,0,0,0
2400,mumford & sons,2009,pop,0,0,0
2401,quelle chris,2019,jazz,0,0,0
2403,manuel göttsching,1984,electronic,0,0,0
2404,the go-betweens,1988,pop,0,0,0
2405,the silver mt. zion memorial orchestra & tra-la-la band,2001,rock,0,0,0
2407,mew,2003,pop,0,0,0
2408,the blue nile,1989,pop,0,0,0
2410,john fahey,1973,folk,0,0,0
2413,jens lekman,2007,pop,0,0,0
2414,janet,1997,pop,0,0,0
2416,blue cheer,1968,rock,0,0,0
2417,gong,1973,rock,0,0,0
2420,czarface & mf doom,2018,hip-hop,0,0,0
2425,tracy chapman,1988,rock,0,0,0
2429,damien rice,2003,folk,0,0,0
2430,arcturus,2002,metal,0,0,0
2434,skee mask,2018,electronic,0,0,0
2437,beat happening,1992,rock,0,0,0
2438,gnarls barkley,2006,soul_funk,0,0,0
2442,dirty three,1998,rock,0,0,0
2443,buffalo springfield,1967,rock,0,0,0
2445,no doubt,1995,rock,0,0,0
2451,ulcerate,2020,metal,0,0,0
2452,wavves,2010,rock,0,0,0
2454,bon jovi,1986,rock,0,0,120
2456,disturbed,2000,metal,0,0,0
2460,elo,1981,rock,0,0,0
2464,the white noise,1969,pop,0,0,0
2465,the jam,1978,pop,0,0,0
2467,linda perhacs,1970,folk,0,0,0
2468,god is an astronaut,2005,rock,0,0,0
2469,sodom,1989,metal,0,0,0
2471,the horrors,2009,rock,0,0,0
